title,comment,recommend
زیبا اما کم دوام,با وجود سابقه خوبی که از برند ایرانی نهرین سراغ داشتم اما متاسفانه بعد از فقط 15 روز رویه کفش ترک خورده و کناره ها هم شروع کرده به جدا شدن از کفه، فقط در فروش ویژه ممکنه به صرفه باشه.,not_recommended
بسیار عالی,بسیار عالی,recommended
سلام,"من الان ۳ هفته هست استفاده میکنم
برای کسایی که در طول ماه دو سه تا دونه جوش میزنن خیلی خوبه که نقطه نقطه روی اون جوش ها بزنید و بعد از ۲ روز خشک‌میشه
اما من صورتم خیلی جوش داره و جوش زیر پوستی هم داده
برای من مناسب نبود چون با چند بار استفاده قشنگ صورتم سووووخت شروع به ورقه ورقه شدن کرد و خوب ظاهر پوستم خیلی بد شد مخصوصا زیر آرایش کامل مشششخصه تیکه تیکه شده پوستم
، حدود ۲ هفته طول کشید درست شد و پوست جدید جایگزین شد
الان یه شب در میون میزنم ولی همچنان جوش زیر پوستی دارم بازم جوش فعال میزنم در صورتی که در توضیحاتش نوشته بعد از یک هفته استفاده اصلااا نباید دیگه جوش بزنیم.
پوست من چرب بود و الان مثل چوووب خشک شده که پوست میندازم هی
به کسایی که خیلی جوش دارن توصیه نمیکنم فقط به درد کسایی میخوره که ماهی دو سه تا جوووش کووچووولووو میزنن
و در ضمن فرورفتگی ناشی از جای جوش هم‌نبرده  با اینکه این همه پوستم ورقه ورقه شده.",not_recommended
به درد نمیخورهههه,عمرش کمه تا یه هفته بیشتر نمیشه استفاده کرد یا دیگه شارژ نمیشه یا میسوزه به یه قطره آب هم حساسه گام شمارش هم درست نیست واسه من واتساپش نمیاورد زنگ زدم شرکت گفت چیکار  کنیم چند مدته خراب شده اصلا نخرین اصلااا,not_recommended
کلمن آب,"فکر کنین کلمن بخرین با ذوق. کلی پولشو بدین. به نظر آدما تو دیجیکالا که میگن چکه میکنه اهمیت ندین.
سر هم کنید کلمن رو  و ببینین مثل ابر باهار چکه میکنه. چول لازمش داشتیم همین امروز، مجبور شدیم چسب ۱۲۳ بزنیم دور شیرش! وگرنه پس میدادیم.",not_recommended
سه شخصیت لگو,کالا هایی که اورده شد از نظر شکل هیچ شباهتی به ان که من سفارش دادم نبود فقط اسم شخصیت همان بود,not_recommended
اصن موندگار نیس,نمیدونم چی بگم با اینهمه پول چرا جنس خوب نباشه اخه,not_recommended
قیمت بالا,خوب و تاثیر گذار اما با قیمت جدید سخته خریدش همون موهام بریزه بهتر,recommended
هدفون  بی سیم,برد گوشی بسیار ضعیف است,not_recommended
جای دستمال کاغذی,بسیار زیبا و دارای کارایی مناسب,recommended
بسیار با کیفیت و لنز عالی,"دوربین واقعا با این قیمت ارزش خرید دارد 
عکسها به لطف لنز خوب سامسونگ و حسگر بزرگ دوربین از کیفیت خوبی بهرمند هستند
کیفیت نمایشگر عالی هست
باتری عالی هست
فقط دقت کنید فریمور بدنه و لنز رو آپدیت کنید 
بنده تو این آشفته بازار ارز این دوربین رو برای عکاسان آماتور ۱۰۰درصد پیشنهاد میکنم",recommended
مهدی,"در کل نسبت به قیمت عالیه
اگه فقط بخاطر نت میخواین حتما اینو بخرید",recommended
ضعیف و بی کیفیت,خیلی خیلی ذاغوووون,not_recommended
عالیه,"به نسبت پولی که میدین عالیه 
ماندگار و پخش بوی قابل قبول 
من دومین شیشه عطرش رو تموم کردم و نظر میدم 
عالیه 
ممنون از دیجی کالا",recommended
قوری چای باکیفیت,با توجه به این که قوری باکیفیتی است و معمولا تا نشکند قابلیت استفاده دارد ارزش خرید دارد,recommended
نخرید...از بازار جدا جدا با قیمت کمتر بخرید,"کیفیت اصلا خوب نیست....
تک تک جدا خریده بشه خیلی بهتره،اصلا نمی ارزه بابتش هزینه کرد...
دم بارکش اصلا کامل بسته نمیشه و نصف آج هاش صاف هستن و دسته چکش هم که لوله خو خالیه و اره که فقط واسه بریدن کاغذه
بقیه هم که چیزی نگم بهتره",not_recommended
سینی پلاستیکی,سلام،  این سینی در شگفت انگیز هم ارزش خرید ندارد. قیمت ان واقعا غیر معقول و نا مناسب است.,not_recommended
تاثیری ندیدم,نه چربی و نه رطوبت، هیچکدام را به پوست نداد،,not_recommended
لامپ خودرو ای ام فلش دار 2 کنتاکت,من امروز به دستم رسید هنوز استفاده نشده یکی از لامپ ها یه کنتاکتش سوخته و بی مصرفه به این شکل در نتیجه کیفیت نداره ، تو جای لامپ فیکس نمیشه و لق میخوره که فکر کنم باعث زود سوختنش بشه البته اگه مرجوعی مارو انجام بدن روزگاری به دستمون سالمش برسه ، ولی اگه سالمش و کیفیت خوبشو پیدا کنین خیلی مفید و زیبا میتونه باشه,not_recommended
گزینهای بهتری بااین قیمت هست,تازه به دستم رسید.بسیاربی کیفیت وهیچگونه ظرافتی درساختش بخرج نرفته.ازآهن معمولی ساخته شده.جنس دسته لاستیک ضایعاتی وتیغه آهن.بااین قیمت گزینهای خیلی بهتری هم هست.اصلاازخریدم راضی نیستم بیشتربه اسباب بازی کودکان شبیهه تاابزارسفر.بهتون پیشنهادخریدنمیدم.,not_recommended
نرم و خوش پا,یه کفش مقرون بصرفه و نرم و راحت.,recommended
کیفیت,در کل برید پایونیر بخرید صداش خیلی بهتره صدای بم دوست دارید اینو بخرید,not_recommended
نظرم بر عکس شد,"الان حدود دو ماهه که هر دو روز یکبار استفاده میکنم
اول فکر میکردم حتما آب بره داخلش بعد از استفاده دیدم نه درسته عالی نیست ولی خدایی بدم نیست یکم به صورتش فشارش بدید جدا نمیشه
خیلی خوشگله بند خوب و راحتی داره .گوش گیرش که ی دنیا می ارزه
فقط چون آب استخرها به خاطر شلوغی تابستون خیلی چرب هستش و خیلی کلر هم میزنن ی اسپره ضد بخار بگیرید و قبل از استفاده بزنید",not_recommended
زود خراب میشه,بدنه خیلی خشک و زود شکست..قسمت حلویی هم خیلی زود از بغلها وا رفت,not_recommended
قابل قبوله,قابل قبول هست از هر نظر خوبه و قیمتش هم فعلا تا به قیمت دلار جدید محاسبه نشده به صرفه هست,recommended
خیلی خوبه,درکل نسبت به قیمتش ارزش خرید داره,recommended
بی کیفیت نخر,خریدم. درجا زنگ زدم و پس دادم. بسیار بی کیفیت است. تمام.,not_recommended
برای صفحه گوشی کوچیکه !,مطمعنم این گلس اصلا برای نوکیا هشت نیست، چون اصلا اسکرین رو پوشش نمیده,not_recommended
اندازه واقعی این محصول در سایت ۲۲سانتیمتره اما در واقعیت ۱۹ سانتیمتر مباشد,سایز واقعی با سایز که در سایت است ۳سانت مغایرت داردو کوچکتر است,not_recommended
خیلی بد و بی کیفیته,اصلا به درد نمی خوره جنسشم فلز خیلی نازک بده.تزیینی است و باهاش کار نمیشه کرد.اصلا پیشنهاد نمیکنم,not_recommended
خیلی خیلی عالی,من تا حالا اینو نخورده بودم ولی واقعا یه تجربه جدید و خوشمزه بود . آفرین به این ابتکار . به همه پیشنهاد میکنم,recommended
سمباده,خیلی زبر هست و نمیشه ازش استفاده کرد. من که دوتا خریدم ازش برای تمیز کردن سرامیک سرویس ها استفاده میکنم.,not_recommended
نوع آموزش,برای کسایی که میخوان تو پایه هفتم موفق باشن عالیه,recommended
خیلی عالیه من راضیم خداوکیلی,من حدود ۵ ماه و بیشتر هست که دارم ازش استفاده می کنم واقعا جوابه خیلی خوبه,recommended
مسواک برقی,مسواک خیلی خوبه هست فقط تنها موردش نداشتم چراغ شارژ هست ولی در کل می ارزه,recommended
میز تحریر,من دوسری از این میز سفارش دادم .اولی که چند ماه قبل بود و بسیار از کیفیت اون راضی بودم.دومی رو که دوهفته قبل سفارش دادم.متاسفانه روی صفحه خش بزرگی داشت که پس فرستادیم.وممنون از دیجی به خاطر همکاری در برگشت میز و اینکه پولش سریعا برگشت داده شد.دوباره میخوام سفارش بدن امیدوارم بدون عیب باشه,recommended
هارد وسترن,"من این هاردو چندین ماه قبل گرفتم با قیمت 200هزارتومن که الان قیمتش خیلی بالارفته
این هارد هارد خوبیه سرعت مناسبی داره اما باید خیلی مواظبش باشید که ضربه نبینه یا شوک بهش وارد نشه جدا از اینها کارایی بسیار مناسبی داره",recommended
راکتی مناسب و به صرفه برای آماتورها,در کل با توجه به قیمت واقعا راکت خوبیه، توی استفاده بلند مدت اصلا دست خسته نمیشه,recommended
محاسن و معایب,امروز به دستم رسیدم. من 20 ساله که با موزر آلمانی میزدم. این از اون بهتر میزنه,recommended
لطفا کالای باکیفیتی را انتخاب کنید,"من متاسفانه این کالا را خریدم 
اولا از دیجی کالا بعنوان فروشنده معتبر بعید بود که چنین کالایی را ارسال کند
بعد از خرید که نظر دوستان را مشاهده کردم سعی کردم با نوع دیگر تعویض کنم که متاسفانه بدلیل اتمام موجودی مقدور نشد. بعد از تحویل و تست واقعا پشیمان شده و درخواست کردم که مرجوع شود.
لطفا قبل از خرید کالا نظرات دوستان را بخوانید تا بتوانید خرید خوبی داشته باشید.",not_recommended
نظر میدم چون نظرات بقیه خیلی تو خرید کمکم کرد.,"خدایی پاور خوبیه سریع شارژ میکنه اگرم میخواین زود شارژ بشه با شارژر فست ۲ آمپر شارژش کنید. تو شگفت خریدم به نظرم واقعا بیشتر از قیمتش میارزه و عالیه. طراحی قشنگی هم داره ظرفیتش کمتر از ۱۰۰۰۰ ولی راحت ۳بار باطری ۲۸۰۰رو فول شارژ میکنه اگه استفادتون در همین حده به شدت پیشناهاد میکنم(البته تو شگفت)
اینم بگم چراغ ال ای دیش تزئینیه و نور زیادی نداره",recommended
عالی بود,لطفا موجود کنید,recommended
محصول کارامد و خوبی است,محصول خیلی خوب و باکیفیتیه اما تنها مشکلی ک داشت واسه من این بود که روی داشبورد اصلا نمیچسبه و مجبورشدم بزنم روی شیشه,recommended
افتضاح,اصلا هزار تومنم ارزش خرید نداره فوق العاده بی کیفیت,not_recommended
بنظر من این کالا مناسب لپ لپ می باشد اصلا ارزش نداره,اصلان پیشنهاد نمیکنم,not_recommended
با اینکه دستگاه کوچیکی هست اما زود داغ میشه,دستگاه ساده و به درد بخوریه,recommended
I AM GHD,عالی بود ممنون از دیجیکالا,recommended
نخرید,اصلا فکر نمیکردم تغییر دمای جزیی باعث ترک خوردنش بشه،بعد از اینکه زیر شیر آب ولرم شستم با ریختن آب جوش شکست,not_recommended
خیلی کوچیکه,همین الان بدستم رسید بخدا انقد ریزه که نمیتونی بخونی روشو این عکس زوم کرده بزرگ بنظر میرسه دیجی خواهشا درج کن مردم بدونن کوچیکه...,not_recommended
عالیه,پولی ک بابتش دادم واقعا می ارزید. گوشیو واقعا خوب شارژ میکنه اگ خروجی مناسب به گوشیتون بزنید.خلاصه بگم از خریدش پشیمون نمیشید,recommended
دماغ گیر زاگز,عالی ترین دماغ گیر برای دماغ های گوشتیه من خودم دماغ گیر  خریدم ازبیرون مفت نمی ارزید چون دماغ من گوشتیه ولی این یکی محشره از دیجی کالا هم بابت قرار دادن این کالا بسیار متشکرم فقط مواظب سری هاش که سفیدن باشید.,recommended
حتماپیشنهادمیکنم,جنسشون خیلی خوبه اما نسبت به عکس خیلی کوچیک ترن.من درفروش ویژه خریدمش.بااون قیمت می ارزید.تنهاچیزی که کاملا شبیه عکسه سبزی خشک کنش هست والبته خیلی کاربردیه,recommended
بی کیفیت,نسبت به قیمتش اصلا نمیصرفه ... چون کیفیت لازم رو نداشت و حباب هاش از نطر قالب زیاد تمیز نبودن ...,not_recommended
شیک و کاربردی,"سلام دوستان 
ساندبار ارزان و پر کاربرد برای محیط های خانگی",recommended
خیلی بده پلاستیک خالص,واقعا بده به  کسی پیشنهاد نمی کنم,not_recommended
هدفون بی سیم,به طور کلی توصیه به خرید این محصول نمیکنم و از خریدم ناراضی هستم,not_recommended
ظرف غذای سفری,بسیار از خرید این ظرف غذا راضی هستم ولی کاش کمی بزرگ تر بود ولی باز هم بسیار عالی است,recommended
خیلی عالی,محصول عالی و بدرد بخوری هستش ولی روش سفیدک داشت انگار رنگ پارچه رفته بود با ماژیک سبز تیره درستش کردم,recommended
